City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Qasigiannguit,GL,68.8193,-51.1922,10.45,76,100,6.38,overcast clouds
79,New Norfolk,AU,-42.7826,147.0587,51.71,64,3,1.01,clear sky
80,Rudbar,AF,30.15,62.6,55.85,26,0,6.46,clear sky
81,Narsaq,GL,60.9167,-46.05,23.85,94,100,4.7,snow
82,Salaspils,LV,56.8601,24.3654,26.47,95,73,2.91,broken clouds
83,Pueblo Nuevo,MX,23.3833,-105.3833,46.63,37,94,2.93,overcast clouds
84,Barrow,US,71.2906,-156.7887,-28.86,100,11,0.81,few clouds
85,Esperance,AU,-33.8667,121.9,66.04,72,3,20.96,clear sky
86,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
87,Sorong,ID,-0.8833,131.25,80.83,77,100,3.6,overcast clouds
88,Libreville,GA,0.3925,9.4537,86.02,74,20,6.91,few clouds
89,Curillo,CO,1.0333,-75.9191,86.34,52,96,2.8,overcast clouds
90,Anton Lizardo,MX,19.05,-95.9833,73.22,71,0,11.54,clear sky
91,Horizontina,BR,-27.6258,-54.3078,95.18,31,84,7.43,broken clouds
92,Castro,BR,-24.7911,-50.0119,71.67,77,99,3.09,overcast clouds
93,Northam,GB,51.0333,-4.2167,52.02,90,97,15.01,overcast clouds
94,Murgab,TM,37.4966,61.9714,55.27,44,100,11.5,overcast clouds
95,Oktyabrskoye,RU,43.0645,44.7417,37.54,86,74,2.24,broken clouds
96,Leshukonskoye,RU,64.8989,45.7622,8.47,99,99,1.19,overcast clouds
97,Saint-Philippe,RE,-21.3585,55.7679,79.11,92,100,37.45,heavy intensity rain
98,High Rock,BS,26.6208,-78.2833,71.62,63,71,18.14,broken clouds
99,Broome,US,42.2506,-75.833,39.0,83,100,4.61,light rain
100,Plouzane,FR,48.3833,-4.6167,50.32,78,100,5.75,overcast clouds
101,San Lawrenz,MT,36.0553,14.204,60.21,71,1,4.0,clear sky
102,Camacha,PT,33.0833,-16.3333,63.36,88,40,14.97,scattered clouds
103,Alghero,IT,40.5589,8.3181,59.09,67,40,14.97,scattered clouds
104,Rio Gallegos,AR,-51.6226,-69.2181,48.25,53,100,2.3,overcast clouds
105,Mandleshwar,IN,22.1833,75.6667,65.39,29,0,7.63,clear sky
106,Ilhabela,BR,-23.7781,-45.3581,80.65,75,80,5.35,broken clouds
107,Colares,PT,38.7992,-9.4469,60.3,72,40,1.01,scattered clouds
108,Usinsk,RU,65.9939,57.5281,20.25,96,100,8.5,light snow
109,Huarmey,PE,-10.0681,-78.1522,74.64,72,100,8.66,overcast clouds
110,Baruun-Urt,MN,46.6806,113.2792,-11.31,89,5,4.74,clear sky
111,Boca Do Acre,BR,-8.7522,-67.3978,75.2,91,100,3.13,overcast clouds
112,Flinders,AU,-34.5833,150.8552,65.21,76,100,13.2,overcast clouds
113,Itacoatiara,BR,-3.1431,-58.4442,85.62,63,78,4.63,broken clouds
114,Kendari,ID,-3.945,122.4989,76.19,90,100,2.19,overcast clouds
115,Todos Santos,MX,23.45,-110.2167,67.01,71,22,11.39,few clouds
116,Tarakan,ID,3.3,117.6333,78.3,89,20,3.44,few clouds
117,Vanimo,PG,-2.6741,141.3028,76.55,86,90,3.04,overcast clouds
118,Kargasok,RU,59.0556,80.8572,14.86,95,100,8.68,overcast clouds
119,Upernavik,GL,72.7868,-56.1549,-4.94,66,100,5.39,overcast clouds
120,Awbari,LY,26.5921,12.7805,62.01,30,0,11.7,clear sky
121,Kieta,PG,-6.2167,155.6333,79.02,88,100,14.9,moderate rain
122,Vila Velha,BR,-20.3297,-40.2925,78.94,86,75,8.05,broken clouds
123,Bayburt,TR,40.2589,40.2278,21.99,84,100,5.97,overcast clouds
124,Tasiilaq,GL,65.6145,-37.6368,5.31,59,76,6.2,broken clouds
125,Maturin,VE,9.75,-63.1767,87.17,49,36,9.55,scattered clouds
126,Raga,SS,8.4596,25.678,96.57,13,28,6.8,scattered clouds
127,Luba,GQ,3.4568,8.5547,87.69,69,67,3.91,broken clouds
128,Babati,TZ,-4.2167,35.75,78.57,52,94,4.25,overcast clouds
